#,rptdate,applications,residential,rwa,totalhouseholds,upto_10_kw,above_10_kw,installations,inspection,subsidyredeemed
1,2026-02-09,6.0,1.0,0.0,0.0,1.0,0.0,1.0,37.0,6.0
2,2026-02-08,9017.0,2479.0,1.0,72.0,2477.0,3.0,2480.0,1009.0,2660.0
3,2026-02-07,20625.0,6536.0,20.0,967.0,6541.0,15.0,6556.0,5965.0,7305.0
4,2026-02-06,23297.0,7841.0,27.0,1783.0,7840.0,28.0,7868.0,8424.0,9630.0
5,2026-02-05,20308.0,7551.0,26.0,1485.0,7555.0,22.0,7577.0,8899.0,10077.0
6,2026-02-04,17723.0,6863.0,38.0,2355.0,6865.0,36.0,6901.0,8207.0,6651.0
7,2026-02-03,16573.0,6367.0,23.0,1218.0,6378.0,12.0,6390.0,8439.0,5442.0
8,2026-02-02,17720.0,7231.0,26.0,2474.0,7232.0,25.0,7257.0,10082.0,6723.0
9,2026-02-01,5489.0,2401.0,1.0,10.0,2402.0,0.0,2402.0,1276.0,2249.0
10,2026-01-31,17839.0,7912.0,26.0,890.0,7925.0,13.0,7938.0,6683.0,6413.0
11,2026-01-30,17622.0,8695.0,47.0,1713.0,8712.0,30.0,8742.0,9481.0,8318.0
12,2026-01-29,18413.0,8587.0,23.0,644.0,8597.0,13.0,8610.0,9994.0,10907.0
13,2026-01-28,16562.0,8185.0,27.0,1360.0,8189.0,23.0,8212.0,9729.0,8140.0
14,2026-01-27,17071.0,7422.0,16.0,884.0,7420.0,18.0,7438.0,10126.0,7658.0
15,2026-01-26,10267.0,3858.0,5.0,135.0,3858.0,5.0,3863.0,1236.0,2925.0
16,2026-01-25,7837.0,2023.0,6.0,317.0,2026.0,3.0,2029.0,778.0,2027.0
17,2026-01-24,22000.0,6479.0,18.0,685.0,6483.0,14.0,6497.0,4405.0,7524.0
18,2026-01-23,20123.0,7112.0,34.0,1221.0,7128.0,18.0,7146.0,7523.0,7065.0
19,2026-01-22,21767.0,7805.0,26.0,1052.0,7816.0,15.0,7831.0,6791.0,4253.0
20,2026-01-21,23055.0,7378.0,18.0,682.0,7382.0,14.0,7396.0,7513.0,5252.0
21,2026-01-20,23789.0,7160.0,34.0,2027.0,7173.0,21.0,7194.0,7999.0,4519.0
22,2026-01-19,16297.0,7831.0,22.0,1074.0,7833.0,20.0,7853.0,8426.0,5156.0
23,2026-01-18,10438.0,2407.0,2.0,99.0,2408.0,1.0,2409.0,1322.0,1472.0
24,2026-01-17,13856.0,6429.0,28.0,1451.0,6438.0,19.0,6457.0,5941.0,5152.0
25,2026-01-16,11632.0,6555.0,26.0,1469.0,6559.0,22.0,6581.0,8711.0,5602.0
26,2026-01-15,12413.0,5175.0,10.0,269.0,5176.0,9.0,5185.0,4861.0,4752.0
27,2026-01-14,10469.0,4738.0,12.0,660.0,4739.0,11.0,4750.0,4418.0,4586.0
28,2026-01-13,13207.0,7271.0,26.0,1696.0,7273.0,24.0,7297.0,8197.0,7434.0
29,2026-01-12,14492.0,7218.0,22.0,2326.0,7225.0,15.0,7240.0,10945.0,7343.0
30,2026-01-11,5961.0,2320.0,2.0,39.0,2322.0,0.0,2322.0,859.0,1666.0
31,2026-01-10,11335.0,6035.0,24.0,598.0,6050.0,9.0,6059.0,2237.0,5741.0
32,2026-01-09,13430.0,6990.0,20.0,1045.0,6997.0,13.0,7010.0,8330.0,7446.0
33,2026-01-08,14376.0,7511.0,29.0,1176.0,7521.0,19.0,7540.0,8522.0,8227.0
34,2026-01-07,15707.0,7412.0,27.0,1548.0,7426.0,13.0,7439.0,8288.0,7629.0
35,2026-01-06,14900.0,7967.0,46.0,1765.0,7989.0,24.0,8013.0,9874.0,8182.0
36,2026-01-05,15776.0,7221.0,41.0,1614.0,7226.0,36.0,7262.0,8249.0,7017.0
37,2026-01-04,5908.0,2369.0,9.0,436.0,2367.0,11.0,2378.0,640.0,1900.0
38,2026-01-03,11841.0,6563.0,24.0,1349.0,6572.0,15.0,6587.0,4460.0,7206.0
39,2026-01-02,12942.0,6738.0,34.0,2228.0,6753.0,19.0,6772.0,6782.0,6932.0
40,2026-01-01,7708.0,4606.0,28.0,1662.0,4624.0,10.0,4634.0,6005.0,4491.0
41,2025-12-31,11775.0,7835.0,19.0,771.0,7843.0,11.0,7854.0,7554.0,6851.0
42,2025-12-30,14291.0,7682.0,30.0,13659.0,7687.0,25.0,7712.0,8045.0,8662.0
43,2025-12-29,12680.0,6951.0,23.0,1040.0,6958.0,16.0,6974.0,9247.0,5653.0
44,2025-12-28,4818.0,1902.0,2.0,21.0,1902.0,2.0,1904.0,851.0,1064.0
45,2025-12-27,10651.0,5916.0,14.0,2015.0,5920.0,10.0,5930.0,3195.0,4333.0
46,2025-12-26,11085.0,7066.0,26.0,1037.0,7073.0,19.0,7092.0,8254.0,4951.0
