#,state,discom,application_status,vendor_selected,feasibility_approved,feasibility_rejected,feasibility_pending,residential_installation,rwa_installation,no_of_houses,upto_10_kw,above_10_kw,installation,inspection_approved,inspection_rejected,inspection_pending,total_redeem,total_redeem_amt,total_released,total_released_amt,applications_submitted_for_loan,applications_where_loan_sanction_is_pending,applications_in_which_loan_is_sanctioned,applications_where_loan_is_disbursed,applications_where_loan_is_rejected
1.0,ANDAMAN and NICOBAR ISLANDS,Electricity Deptt. of Andaman & Nicobar Islands,692.0,409.0,692.0,0.0,0.0,208.0,1.0,20.0,207.0,2.0,209.0,177.0,0.0,25.0,175.0,14785254.0,175.0,14785254.0,173.0,13.0,108.0,96.0,52.0
2.0,ANDHRA PRADESH,Andhra Pradesh Central Power Distribution Corporation Limited,43.0,9.0,2.0,0.0,36.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
3.0,ANDHRA PRADESH,Central Power Distribution Company of A.P. Ltd.,547284.0,81502.0,546585.0,19.0,619.0,29863.0,41.0,1500.0,29848.0,56.0,29904.0,29006.0,22.0,768.0,28073.0,2184069870.0,26795.0,2084182650.0,35079.0,2259.0,22529.0,19382.0,10291.0
4.0,ANDHRA PRADESH,Eastern Power Distribution Company of A P Ltd,173975.0,80804.0,173761.0,10.0,168.0,46463.0,57.0,1565.0,46406.0,114.0,46520.0,45656.0,6.0,797.0,43637.0,3385617864.0,40768.0,3162705348.0,56560.0,5188.0,37120.0,32383.0,14252.0
5.0,ANDHRA PRADESH,Kuppam,25951.0,1336.0,12809.0,0.0,13141.0,94.0,0.0,0.0,94.0,0.0,94.0,90.0,0.0,3.0,55.0,3394680.0,49.0,3017400.0,2.0,0.0,2.0,1.0,0.0
6.0,ANDHRA PRADESH,Southern Power Distribution Company of AP Limited,577219.0,87926.0,576653.0,91.0,227.0,20848.0,4.0,87.0,20807.0,45.0,20852.0,19613.0,9.0,1011.0,18755.0,1435720920.0,17564.0,1345270620.0,26597.0,2866.0,16632.0,14592.0,7099.0
7.0,ARUNACHAL PRADESH,"Department of Power, Arunachal Pradesh",89.0,32.0,84.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,85800.0,1.0,85800.0,9.0,2.0,3.0,0.0,4.0
8.0,ASSAM,Assam Power Distribution Company Limited,507975.0,310163.0,506088.0,73.0,1046.0,86018.0,13.0,578.0,85908.0,123.0,86031.0,80406.0,79.0,4238.0,74941.0,6397332117.0,68395.0,5836880676.0,206394.0,28666.0,88723.0,73027.0,89005.0
9.0,BIHAR,North Bihar Power Distribution Company Limited,30239.0,18480.0,29464.0,67.0,483.0,4910.0,4.0,60.0,4899.0,15.0,4914.0,4723.0,21.0,115.0,4637.0,356105880.0,4427.0,339830970.0,9849.0,764.0,3673.0,2810.0,5412.0
10.0,BIHAR,South Bihar Power Distribution Company Limited,28132.0,20465.0,27779.0,45.0,150.0,10366.0,6.0,598.0,10314.0,58.0,10372.0,10094.0,41.0,156.0,9954.0,770025000.0,9550.0,738703620.0,10867.0,855.0,5834.0,4879.0,4178.0
11.0,CHANDIGARH,Chandigarh Power Distribution Limited (CPDL),1553.0,1263.0,1551.0,1.0,1.0,1037.0,0.0,0.0,1017.0,20.0,1037.0,853.0,1.0,87.0,815.0,62309040.0,769.0,58789890.0,51.0,4.0,30.0,11.0,17.0
12.0,CHHATTISGARH,C S P D C L,138731.0,81852.0,137699.0,416.0,243.0,30220.0,13.0,2199.0,30002.0,231.0,30233.0,27321.0,47.0,2057.0,24503.0,1901804940.0,20393.0,1582200960.0,51088.0,8833.0,27855.0,20079.0,14400.0
13.0,CHHATTISGARH,TEED,42.0,37.0,39.0,0.0,3.0,22.0,0.0,0.0,21.0,1.0,22.0,19.0,0.0,2.0,18.0,1404000.0,14.0,1092000.0,11.0,1.0,8.0,6.0,2.0
14.0,GOA,Electricity Deptt. of Goa,2990.0,2665.0,2950.0,2.0,25.0,1663.0,10.0,363.0,1367.0,306.0,1673.0,1475.0,1.0,178.0,1430.0,114061950.0,1338.0,105910110.0,628.0,89.0,363.0,298.0,176.0
15.0,GUJARAT,Dakshin Gujarat Vij Co.Ltd (DGVCL),113507.0,110900.0,113448.0,8.0,21.0,97191.0,1148.0,49113.0,97467.0,872.0,98339.0,96836.0,29.0,706.0,96080.0,7552139400.0,93189.0,7326803340.0,11564.0,1607.0,7080.0,6373.0,2877.0
16.0,GUJARAT,Madhya Gujarat VIJ Company Ltd.,104675.0,102853.0,104592.0,21.0,27.0,85580.0,1400.0,50399.0,86697.0,283.0,86980.0,85517.0,33.0,803.0,84665.0,6623485152.0,82252.0,6434903892.0,18630.0,2383.0,11451.0,10274.0,4796.0
17.0,GUJARAT,Paschim Gujarat Vij Co. Limited,234515.0,231706.0,234428.0,13.0,35.0,204589.0,1253.0,40334.0,205376.0,466.0,205842.0,201152.0,71.0,3312.0,199688.0,15616906914.0,193281.0,15121245114.0,34689.0,3974.0,23092.0,20792.0,7623.0
18.0,GUJARAT,Torrent Power Limited - Ahmedabad,55453.0,53926.0,55361.0,0.0,20.0,43829.0,1871.0,65875.0,45257.0,443.0,45700.0,45283.0,3.0,191.0,45038.0,3625017366.0,44273.0,3561341136.0,3616.0,422.0,1823.0,1602.0,1371.0
19.0,GUJARAT,Torrent Power Limited - Surat,10305.0,10031.0,10296.0,0.0,6.0,8835.0,100.0,5201.0,8828.0,107.0,8935.0,8817.0,3.0,66.0,8799.0,688156800.0,8637.0,675136890.0,381.0,69.0,182.0,162.0,130.0
20.0,GUJARAT,Uttar Gujarat Vij Company Limited,128604.0,125902.0,128556.0,1.0,33.0,106582.0,1016.0,39470.0,107459.0,139.0,107598.0,105616.0,45.0,1433.0,104623.0,8115858084.0,100549.0,7806803904.0,19698.0,3568.0,11667.0,10285.0,4463.0
21.0,HARYANA,Dakshin Haryana Bijli Vitran Nigam Limited,57855.0,48158.0,57649.0,85.0,16.0,24147.0,6.0,595.0,23938.0,215.0,24153.0,23514.0,69.0,163.0,23103.0,1702986330.0,21869.0,1613042310.0,21986.0,2285.0,11521.0,9580.0,8180.0
22.0,HARYANA,Uttar Haryana Bijli Vitran Nigam Limited,57646.0,47056.0,57527.0,73.0,15.0,30283.0,10.0,6606.0,30195.0,98.0,30293.0,29437.0,36.0,593.0,28818.0,2134725606.0,27182.0,2015307666.0,19881.0,2766.0,11834.0,9889.0,5281.0
23.0,HIMACHAL PRADESH,HPSEB Limited,11880.0,10777.0,11815.0,26.0,7.0,6864.0,3.0,4.0,6860.0,7.0,6867.0,6412.0,3.0,359.0,6326.0,541450734.0,6034.0,516426504.0,5101.0,452.0,3676.0,2856.0,973.0
