#,state,district,application_status,vendor_selected,vendor_selection_pending_gt_180_days,feasibility_approved,feasibility_rejected,feasibility_pending,residential_installation,rwa_installation,no_of_houses,upto_10_kw,above_10_kw,installation,installation_against_loan,inspection_approved,inspection_rejected,inspection_pending,total_redeem,total_redeem_amt,total_released,total_released_amt,applications_submitted_for_loan,applications_where_loan_sanction_is_pending,applications_in_which_loan_is_sanctioned,applications_where_loan_is_disbursed,applications_where_loan_is_rejected,active_vendor
1.0,ANDAMAN and NICOBAR ISLANDS,Nicobars,13.0,6.0,6.0,13.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,171600.0,2.0,171600.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0,ANDAMAN and NICOBAR ISLANDS,NORTH and MIDDLE ANDAMAN,98.0,51.0,17.0,98.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,22.0,14.0,22.0,0.0,0.0,22.0,1887600.0,22.0,1887600.0,30.0,0.0,16.0,16.0,14.0,4.0
3.0,ANDAMAN and NICOBAR ISLANDS,South Andamans,581.0,352.0,107.0,581.0,0.0,0.0,184.0,1.0,20.0,183.0,2.0,185.0,77.0,153.0,0.0,25.0,151.0,12726054.0,151.0,12726054.0,143.0,13.0,92.0,80.0,38.0,13.0
4.0,ANDHRA PRADESH,Alluri Sitharama Raju,3425.0,478.0,1634.0,3417.0,0.0,8.0,35.0,0.0,0.0,35.0,0.0,35.0,24.0,29.0,0.0,6.0,27.0,2090520.0,22.0,1700520.0,307.0,136.0,56.0,41.0,115.0,25.0
5.0,ANDHRA PRADESH,Anakapalli,16149.0,8530.0,5325.0,16122.0,0.0,21.0,4525.0,4.0,150.0,4524.0,5.0,4529.0,3491.0,4387.0,1.0,132.0,4163.0,322642320.0,3845.0,297968610.0,6335.0,553.0,4064.0,3550.0,1718.0,388.0
6.0,ANDHRA PRADESH,Anantapur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,ANDHRA PRADESH,Ananthapuramu,44253.0,10586.0,33057.0,44190.0,3.0,6.0,2416.0,0.0,0.0,2409.0,7.0,2416.0,1745.0,2320.0,2.0,68.0,2205.0,170665110.0,2091.0,161801370.0,3393.0,328.0,2171.0,1923.0,894.0,222.0
8.0,ANDHRA PRADESH,Annamayya,44442.0,3938.0,39385.0,44405.0,4.0,18.0,1537.0,0.0,0.0,1535.0,2.0,1537.0,1059.0,1427.0,0.0,100.0,1383.0,107073840.0,1288.0,99710280.0,2217.0,299.0,1332.0,1144.0,586.0,93.0
9.0,ANDHRA PRADESH,Bapatla,63405.0,13150.0,48421.0,63358.0,0.0,25.0,4444.0,1.0,127.0,4444.0,1.0,4445.0,3113.0,4285.0,0.0,156.0,4191.0,325570620.0,4014.0,311808540.0,5858.0,335.0,3560.0,3102.0,1963.0,618.0
10.0,ANDHRA PRADESH,Chittoor,75079.0,5082.0,56325.0,61889.0,3.0,13178.0,1323.0,0.0,0.0,1318.0,5.0,1323.0,645.0,1234.0,1.0,76.0,1166.0,88509630.0,1084.0,82290030.0,1572.0,199.0,892.0,715.0,481.0,296.0
