state,district,applications,installations,conversion_rate_pct,capacity_installed_kw,avg_system_size_kw
ANDHRA PRADESH,Palnadu,137592,2951,2.14,0.0,0.0
ANDHRA PRADESH,Guntur,106049,6856,6.46,0.0,0.0
ANDHRA PRADESH,Nandyal,106014,2775,2.62,0.0,0.0
UTTAR PRADESH,Lucknow,98923,72547,73.34,0.0,0.0
ANDHRA PRADESH,Kurnool,89456,2117,2.37,0.0,0.0
ANDHRA PRADESH,NTR,88781,4806,5.41,0.0,0.0
MAHARASHTRA,Nagpur,88092,65385,74.22,0.0,0.0
ANDHRA PRADESH,Krishna,82717,5987,7.24,0.0,0.0
GUJARAT,Surat,80845,71030,87.86,0.0,0.0
GUJARAT,Ahmedabad,78354,65724,83.88,0.0,0.0
ANDHRA PRADESH,Chittoor,75079,1323,1.76,0.0,0.0
GUJARAT,Rajkot,68310,61600,90.18,0.0,0.0
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,65855,4121,6.26,0.0,0.0
UTTAR PRADESH,Varanasi,65369,30225,46.24,0.0,0.0
ANDHRA PRADESH,Bapatla,63405,4445,7.01,0.0,0.0
ANDHRA PRADESH,Y.S.R.,62035,2094,3.38,0.0,0.0
ANDHRA PRADESH,Tirupati,60893,3724,6.12,0.0,0.0
UTTAR PRADESH,Rae Bareli,60161,10305,17.13,0.0,0.0
GUJARAT,Vadodara,55822,47100,84.38,0.0,0.0
ANDHRA PRADESH,Sri Sathya Sai,55406,868,1.57,0.0,0.0
ANDHRA PRADESH,Prakasam,55034,4519,8.21,0.0,0.0
UTTAR PRADESH,Kushinagar,52483,813,1.55,0.0,0.0
RAJASTHAN,Jaipur,47943,28071,58.55,0.0,0.0
ASSAM,Dhubri,47814,8131,17.01,0.0,0.0
ANDHRA PRADESH,Annamayya,44442,1537,3.46,0.0,0.0
MAHARASHTRA,Pune,44369,30839,69.51,0.0,0.0
ANDHRA PRADESH,Ananthapuramu,44253,2416,5.46,0.0,0.0
KERALA,Ernakulam,44248,33635,76.01,0.0,0.0
MAHARASHTRA,Chhatrapati Sambhajinagar,43833,30175,68.84,0.0,0.0
ANDHRA PRADESH,Eluru,41085,6237,15.18,0.0,0.0
MAHARASHTRA,Jalgaon,40971,31032,75.74,0.0,0.0
ASSAM,Barpeta,40184,8049,20.03,0.0,0.0
MAHARASHTRA,Nashik,40146,27757,69.14,0.0,0.0
MAHARASHTRA,Amravati,37653,26166,69.49,0.0,0.0
UTTAR PRADESH,Kanpur Nagar,36773,22496,61.18,0.0,0.0
UTTAR PRADESH,Gorakhpur,35895,7455,20.77,0.0,0.0
UTTAR PRADESH,Agra,34516,13177,38.18,0.0,0.0
ASSAM,Nagaon,33308,4687,14.07,0.0,0.0
UTTARAKHAND,Dehradun,32449,22330,68.82,0.0,0.0
KERALA,Thrissur,32069,24687,76.98,0.0,0.0
GUJARAT,Junagadh,31440,26824,85.32,0.0,0.0
MADHYA PRADESH,Indore,31081,17559,56.49,0.0,0.0
GUJARAT,Mahesana,29843,25326,84.86,0.0,0.0
GUJARAT,Bhavnagar,29691,24719,83.25,0.0,0.0
ASSAM,Darrang,29079,2254,7.75,0.0,0.0
UTTAR PRADESH,Bareilly,28896,15813,54.72,0.0,0.0
UTTAR PRADESH,PRAYAGRAJ,27145,12154,44.77,0.0,0.0
KERALA,Thiruvananthapuram,27078,19793,73.1,0.0,0.0
UTTAR PRADESH,Shahjahanpur,26662,5860,21.98,0.0,0.0
ASSAM,HOJAI,26187,5166,19.73,0.0,0.0
KARNATAKA,BELAGAVI,26166,777,2.97,0.0,0.0
UTTAR PRADESH,Mahrajganj,25869,1473,5.69,0.0,0.0
MAHARASHTRA,Kolhapur,25365,18926,74.61,0.0,0.0
UTTAR PRADESH,Bijnor,25216,3369,13.36,0.0,0.0
UTTAR PRADESH,Ghaziabad,24858,4916,19.78,0.0,0.0
UTTAR PRADESH,Unnao,24164,5956,24.65,0.0,0.0
MAHARASHTRA,Ahilyanagar,24075,16046,66.65,0.0,0.0
GUJARAT,Banas Kantha,23850,18890,79.2,0.0,0.0
RAJASTHAN,Ganganagar,23684,12357,52.17,0.0,0.0
ASSAM,Kamrup,23675,1900,8.03,0.0,0.0
ASSAM,Baksa,23507,4681,19.91,0.0,0.0
UTTAR PRADESH,Sitapur,23433,6202,26.47,0.0,0.0
ASSAM,Bongaigaon,23159,3800,16.41,0.0,0.0
MAHARASHTRA,Solapur,22693,15511,68.35,0.0,0.0
UTTARAKHAND,Udham Singh Nagar,22164,12238,55.22,0.0,0.0
GUJARAT,Anand,22094,18482,83.65,0.0,0.0
UTTAR PRADESH,Mathura,22024,3475,15.78,0.0,0.0
UTTAR PRADESH,Hardoi,21957,3348,15.25,0.0,0.0
KERALA,Malappuram,21952,15899,72.43,0.0,0.0
KERALA,Alappuzha,21944,15725,71.66,0.0,0.0
ANDHRA PRADESH,West Godavari,21895,4964,22.67,0.0,0.0
ODISHA,Ganjam,21433,2488,11.61,0.0,0.0
MAHARASHTRA,BULDHANA,21404,14126,66.0,0.0,0.0
UTTAR PRADESH,Kheri,21385,4238,19.82,0.0,0.0
ANDHRA PRADESH,East Godavari,21096,5501,26.08,0.0,0.0
GUJARAT,Jamnagar,20771,18217,87.7,0.0,0.0
ASSAM,Lakhimpur,20770,4552,21.92,0.0,0.0
UTTAR PRADESH,Rampur,20745,4146,19.99,0.0,0.0
KERALA,Kollam,20720,15630,75.43,0.0,0.0
ASSAM,Goalpara,20656,4598,22.26,0.0,0.0
MAHARASHTRA,Wardha,20524,13619,66.36,0.0,0.0
