state,applications,installations,approvals,subsidy_redeemed_amount,capacity_installed_kw,vendors_selected,conversion_rate_app_to_install_pct,conversion_rate_install_to_approval_pct,subsidy_per_installation,avg_system_size_kw
ANDHRA PRADESH,1324472,97371,94365,7008803334.0,337735.0,251577,7.35,96.91,71980.4,3.47
UTTAR PRADESH,1111651,367238,355220,26484898632.0,1257815.0,592541,33.04,96.73,72119.17,3.43
GUJARAT,647059,553394,543221,42221563716.0,2074478.0,635318,85.52,98.16,76295.67,3.75
MAHARASHTRA,638797,440763,424242,33167556006.0,1633302.0,602533,69.0,96.25,75250.32,3.71
ASSAM,507975,86031,80406,6397332117.0,283209.0,310163,16.94,93.46,74360.78,3.29
RAJASTHAN,279551,137079,132270,10093433034.0,541637.0,227978,49.04,96.49,73632.23,3.95
KERALA,259556,191989,184609,14242670028.0,753586.0,241209,73.97,96.16,74184.82,3.93
ODISHA,179269,36242,32625,2325914268.0,114228.0,127649,20.22,90.02,64177.32,3.15
KARNATAKA,162482,16022,15694,1239216954.0,64035.0,22973,9.86,97.95,77344.71,4.0
MADHYA PRADESH,150964,93593,91553,7022299392.0,354167.0,131545,62.0,97.82,75030.18,3.78
CHHATTISGARH,138773,30255,27340,1903208940.0,111756.0,81889,21.8,90.37,62905.6,3.69
HARYANA,115501,54446,52951,3837711936.0,184187.0,95214,47.14,97.25,70486.57,3.38
UTTARAKHAND,102593,64869,62421,5274424036.0,235256.8,100200,63.23,96.23,81308.85,3.63
JAMMU and KASHMIR,97847,22303,20805,1728586893.0,79868.0,58701,22.79,93.28,77504.68,3.58
TELANGANA,74919,28215,26236,2040075270.0,110899.0,44362,37.66,92.99,72304.63,3.93
TAMIL NADU,69405,55147,53169,3983998410.0,197787.0,66115,79.46,96.41,72243.25,3.59
BIHAR,58371,15286,14817,1126130880.0,54880.0,38945,26.19,96.93,73670.74,3.59
NCT OF DELHI,21721,6110,5655,464954220.0,28810.0,10687,28.13,92.55,76097.25,4.72
PUNJAB,19833,11278,10717,821903580.0,50947.0,16218,56.86,95.03,72876.71,4.52
WEST BENGAL,12565,1241,457,33511290.0,3905.38,7230,9.88,36.83,27003.46,3.15
HIMACHAL PRADESH,11880,6867,6412,541450734.0,23734.0,10777,57.8,93.37,78848.22,3.46
JHARKHAND,8578,1673,1582,120330840.0,6706.0,5410,19.5,94.56,71925.19,4.01
TRIPURA,8380,2210,2121,170624916.0,7526.0,4319,26.37,95.97,77205.84,3.41
PUDUCHERRY,3420,2471,2364,179202390.0,8816.0,3300,72.25,95.67,72522.21,3.57
GOA,2990,1673,1475,114061950.0,14140.0,2665,55.95,88.16,68178.09,8.45
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2045,559,511,38398860.0,2162.0,1013,27.33,91.41,68692.06,3.87
MEGHALAYA,1955,38,32,1740024.0,100.0,264,1.94,84.21,45790.11,2.63
LADAKH,1833,1369,1316,111523764.0,4567.0,1552,74.69,96.13,81463.67,3.34
MANIPUR,1633,793,765,64673400.0,3221.0,1442,48.56,96.47,81555.36,4.06
CHANDIGARH,1553,1037,853,62309040.0,4209.0,1263,66.77,82.26,60085.86,4.06
LAKSHADWEEP,1234,819,785,66838200.0,2747.0,1017,66.37,95.85,81609.52,3.35
MIZORAM,1033,860,812,68000790.0,3406.0,997,83.25,94.42,79070.69,3.96
ANDAMAN and NICOBAR ISLANDS,692,209,177,14785254.0,699.0,409,30.2,84.69,70742.84,3.34
NAGALAND,577,156,149,12130074.0,525.0,321,27.04,95.51,77756.88,3.37
SIKKIM,263,27,20,1565586.0,100.0,116,10.27,74.07,57984.67,3.7
ARUNACHAL PRADESH,89,1,1,85800.0,3.075,32,1.12,100.0,85800.0,3.08
