#,state,application_status,vendor_selected,vendor_selection_pending_gt_180_days,feasibility_approved,feasibility_approved_capacity,feasibility_rejected,feasibility_pending,residential_installation,residential_capacity,rwa_installation,rwa_capacity,no_of_houses,upto_10_kw,above_10_kw,installation,loan_disbursed,installed_capacity,inspection_approved,inspection_approved_capacity,inspection_rejected,inspection_pending,total_redeem,total_redeem_amt,total_released,total_released_amt,active_vendors,no_of_vendors,applications_submitted_for_loan,applications_where_loan_sanction_is_pending,applications_in_which_loan_is_sanctioned,applications_where_loan_is_disbursed,applications_where_loan_is_rejected
1.0,ANDAMAN and NICOBAR ISLANDS,692,409,130,692,1966.59,0,0,208,695.68,1,3.24,20,207,2,209,91,699.0,177,592.0,0,25,175,14785254.0,175,14785254.0,14,870,173,13,108,96,52
2.0,ANDHRA PRADESH,1324472,251577,942773,1309810,3422471.25,120,14191,97269,336774.38,102,960.0,3152,97156,215,97371,64768,337735.0,94365,327891.0,37,2580,90520,7008803334.0,85176,6595176018.0,1061,1384,118241,10313,76283,66358,31645
3.0,ARUNACHAL PRADESH,89,32,37,84,236.55,0,2,1,3.075,0,0.0,0,1,0,1,1,3.075,1,3.075,0,0,1,85800.0,1,85800.0,1,99,9,2,3,0,4
4.0,ASSAM,507975,310163,194046,506088,1299866.3,73,1046,86018,283171.05,13,38.0,578,85908,123,86031,67855,283209.0,80406,265355.0,79,4238,74941,6397332117.0,68395,5836880676.0,1148,1533,206394,28666,88723,73027,89005
5.0,BIHAR,58371,38945,15415,57243,273473.4,112,633,15276,54832.97,10,47.0,658,15213,73,15286,7351,54880.0,14817,53426.0,62,271,14591,1126130880.0,13977,1078534590.0,423,656,20716,1619,9507,7689,9590
6.0,CHANDIGARH,1553,1263,217,1551,7153.47,1,1,1037,4209.42,0,0.0,0,1017,20,1037,6,4209.0,853,3366.0,1,87,815,62309040.0,769,58789890.0,70,590,51,4,30,11,17
7.0,CHHATTISGARH,138773,81889,14969,137738,382058.45,416,246,30242,111616.96,13,139.0,2199,30023,232,30255,19258,111756.0,27340,101763.0,47,2059,24521,1903208940.0,20407,1583292960.0,571,910,51099,8834,27863,20085,14402
8.0,GOA,2990,2665,180,2950,28266.41,2,25,1663,13946.14,10,193.47,363,1367,306,1673,262,14140.0,1475,12591.0,1,178,1430,114061950.0,1338,105910110.0,56,167,628,89,363,298,176
9.0,GUJARAT,647059,635318,5103,646681,2419298.89,43,142,546606,1997649.5,6788,76829.0,250392,551084,2310,553394,48797,2074478.0,543221,2037074.0,184,6511,538893,42221563716.0,522181,40926234276.0,1673,1811,88578,12023,55295,49488,21260
10.0,HARYANA,115501,95214,12289,115176,351846.85,158,31,54430,184056.38,16,130.0,7201,54133,313,54446,17713,184187.0,52951,179957.0,105,756,51921,3837711936.0,49051,3628349976.0,582,800,41867,5051,23355,19469,13461
11.0,HIMACHAL PRADESH,11880,10777,718,11815,39263.16,26,7,6864,23721.01,3,13.0,4,6860,7,6867,3002,23734.0,6412,22236.0,3,359,6326,541450734.0,6034,516426504.0,119,234,5101,452,3676,2856,973
12.0,JAMMU and KASHMIR,97847,58701,35227,97614,290850.53,14,60,22300,79856.68,3,12.0,11,22257,46,22303,11614,79868.0,20805,74864.0,12,1210,20191,1728586893.0,18553,1588316796.0,300,733,31730,10623,15548,11900,5559
13.0,JHARKHAND,8578,5410,1291,8413,26945.61,23,99,1672,6698.02,1,7.49,3,1652,21,1673,905,6706.0,1582,6338.0,2,68,1550,120330840.0,1449,112454190.0,87,192,2908,445,1194,995,1269
14.0,KARNATAKA,162482,22973,130225,156554,247833.0,1120,2670,15873,59094.11,149,4941.0,9144,15814,208,16022,4043,64035.0,15694,62870.0,15,192,15326,1239216954.0,14870,1201478844.0,386,562,6977,730,4716,4229,1531
15.0,KERALA,259556,241209,16588,259313,1015880.04,3,214,191896,751374.88,93,2211.0,5087,191364,625,191989,76025,753586.0,184609,726151.0,59,6477,182492,14242670028.0,178401,13922552778.0,1292,1357,114557,6708,89278,81722,18571
16.0,LADAKH,1833,1552,231,1830,5369.32,0,1,1369,4567.2,0,0.0,0,1369,0,1369,29,4567.0,1316,4395.0,0,37,1300,111523764.0,1275,109378764.0,16,135,47,7,35,26,5
17.0,LAKSHADWEEP,1234,1017,213,1234,4009.32,0,0,819,2747.34,0,0.0,0,819,0,819,283,2747.0,785,2633.0,0,32,779,66838200.0,775,66495000.0,6,885,415,60,314,273,41
18.0,MADHYA PRADESH,150964,131545,2866,150727,542901.76,22,59,93530,353258.15,63,909.0,3562,93246,347,93593,36395,354167.0,91553,346875.0,12,1454,90237,7022299392.0,87534,6811653162.0,972,1225,65712,6002,47285,42045,12425
19.0,MAHARASHTRA,638797,602533,17689,636783,2418982.09,92,1632,435942,1549778.95,4821,83523.0,266934,437462,3301,440763,141168,1633302.0,424242,1573635.0,130,14750,416128,33167556006.0,399089,31785155196.0,4003,4719,259580,25526,176114,152703,57940
20.0,MANIPUR,1633,1442,106,1623,5800.08,0,9,793,3220.61,0,0.0,0,787,6,793,329,3221.0,765,3107.0,1,24,757,64673400.0,739,63160680.0,17,116,697,163,413,354,121
21.0,MEGHALAYA,1955,264,542,1925,4516.69,0,22,38,100.21,0,0.0,0,37,1,38,15,100.0,32,67.0,0,4,31,1740024.0,30,1705044.0,5,104,47,25,16,13,6
